title,genre_bucket,user_segment,avg_aesthetic_score,predicted_ctr
Dick Johnson Is Dead,Documentaries,action_viewer,5.408,0.4576
The Starling,Comedies,drama_viewer,5.241,0.3591
On the Verge,Comedies,drama_viewer,5.241,0.3829
Stowaway,Dramas,action_viewer,5.465,0.3221
Wild Dog,Action & Adventure,action_viewer,5.498,0.3519
Oloibiri,Dramas,action_viewer,5.465,0.3221
Tell Me When,Comedies,drama_viewer,5.241,0.4433
Zero,International Movies,drama_viewer,5.472,0.2642
Izzy's Koala World,Other,drama_viewer,5.282,0.4587
Keymon and Nani in Space Adventure,Children & Family Movies,action_viewer,5.38,0.3029
Motu Patlu Dino Invasion,Children & Family Movies,action_viewer,5.38,0.3029
Motu Patlu in Octupus World,Children & Family Movies,action_viewer,5.38,0.3029
Motu Patlu VS Robo Kids,Children & Family Movies,action_viewer,5.38,0.3029
Tobot Galaxy Detectives,Other,drama_viewer,5.282,0.4587
Rudra: Secret of the Black Moon,Children & Family Movies,action_viewer,5.38,0.3029
Rudra: The Rise of King Pharaoh,Children & Family Movies,action_viewer,5.38,0.3029
Free to Play,Documentaries,action_viewer,5.408,0.4576
Luis Miguel - The Series,International Movies,drama_viewer,5.472,0.2642
Miss Sloane,Thrillers,action_viewer,5.332,0.452
PJ Masks,Other,drama_viewer,5.282,0.4587
American Me,Dramas,action_viewer,5.465,0.3221
Delhi Belly,Action & Adventure,action_viewer,5.498,0.3519
Dhobi Ghat (Mumbai Diaries),Dramas,drama_viewer,5.465,0.3782
Jaane Tu... Ya Jaane Na,Comedies,drama_viewer,5.241,0.4433
Untold: Breaking Point,Documentaries,action_viewer,5.408,0.4576
Lagaan,Dramas,drama_viewer,5.465,0.3782
Madness in the Desert,Documentaries,drama_viewer,5.408,0.4623
Peepli Live,Comedies,drama_viewer,5.241,0.4433
Taare Zameen Par,Dramas,drama_viewer,5.465,0.3782
Ajeeb Daastaans,Dramas,drama_viewer,5.465,0.3782
Arlo the Alligator Boy,Children & Family Movies,action_viewer,5.38,0.3071
Bakugan: Geogan Rising,Other,drama_viewer,5.282,0.4587
Barbie & Chelsea: The Lost Birthday,Children & Family Movies,action_viewer,5.38,0.3071
Crimson Peak,Other,action_viewer,5.282,0.4576
Dad Stop Embarrassing Me - The Afterparty,Comedies,drama_viewer,5.241,0.4433
Countdown: Inspiration4 Mission to Space,Other,drama_viewer,5.282,0.4587
Doctor Bello,Dramas,action_viewer,5.465,0.3221
